8450/30000 PDE Loss: 782.33215, BC Loss: 3950.14575,                   mse loss: 4732.478027, combined loss: -328.10526
8500/30000 PDE Loss: 2550.61377, BC Loss: 2533.83545,                   mse loss: 5084.449219, combined loss: -48.26983
8550/30000 PDE Loss: 190.98761, BC Loss: 370.90881,                   mse loss: 561.896423, combined loss: -9.33362
8600/30000 PDE Loss: 443.00278, BC Loss: 227.86781,                   mse loss: 670.870605, combined loss: 0.59457
8650/30000 PDE Loss: 342.10190, BC Loss: 159.80518,                   mse loss: 501.907074, combined loss: 1.11593
8700/30000 PDE Loss: 154.35005, BC Loss: 100.85633,                   mse loss: 255.206390, combined loss: -5.02911
8750/30000 PDE Loss: 309.48132, BC Loss: 182.47180,                   mse loss: 491.953125, combined loss: 2.60257
8800/30000 PDE Loss: 295.75232, BC Loss: 123.27430,                   mse loss: 419.026611, combined loss: -2.32761
8850/30000 PDE Loss: 258.78564, BC Loss: 86.53358,                   mse loss: 345.319214, combined loss: -0.55072
8900/30000 PDE Loss: 83.82314, BC Loss: 22.39031,                   mse loss: 106.213455, combined loss: -0.62189
8950/30000 PDE Loss: 324.04330, BC Loss: 480.43146,                   mse loss: 804.474731, combined loss: -11.56282
9000/30000 PDE Loss: 461.32495, BC Loss: 354.82535,                   mse loss: 816.150269, combined loss: 3.51831
9050/30000 PDE Loss: 106.79866, BC Loss: 30.73458,                   mse loss: 137.533249, combined loss: -0.64557
9100/30000 PDE Loss: 74.55841, BC Loss: 26.01702,                   mse loss: 100.575424, combined loss: 0.79851
9150/30000 PDE Loss: 16.41339, BC Loss: 14.50185,                   mse loss: 30.915239, combined loss: -0.20284
9200/30000 PDE Loss: 39.58095, BC Loss: 26.02893,                   mse loss: 65.609879, combined loss: -0.07323
9250/30000 PDE Loss: 8.87371, BC Loss: 19.53134,                   mse loss: 28.405048, combined loss: -0.00470
9300/30000 PDE Loss: 5.97903, BC Loss: 18.52992,                   mse loss: 24.508947, combined loss: 0.15832
9350/30000 PDE Loss: 4.36027, BC Loss: 19.62816,                   mse loss: 23.988428, combined loss: -0.26738
9400/30000 PDE Loss: 8.87127, BC Loss: 14.19265,                   mse loss: 23.063919, combined loss: 2.11440
9450/30000 PDE Loss: 32.94217, BC Loss: 17.44368,                   mse loss: 50.385857, combined loss: 0.44027
9500/30000 PDE Loss: 65.75687, BC Loss: 125.03178,                   mse loss: 190.788651, combined loss: -1.85331
9550/30000 PDE Loss: 5.10447, BC Loss: 15.69752,                   mse loss: 20.801991, combined loss: -13.09239
9600/30000 PDE Loss: 9.76736, BC Loss: 17.56733,                   mse loss: 27.334682, combined loss: -0.18318
9650/30000 PDE Loss: 8.99527, BC Loss: 31.80441,                   mse loss: 40.799683, combined loss: -11.91997
9700/30000 PDE Loss: 8.75335, BC Loss: 14.80174,                   mse loss: 23.555088, combined loss: 0.78154
9750/30000 PDE Loss: 13.55933, BC Loss: 7.06931,                   mse loss: 20.628645, combined loss: -0.34876
9800/30000 PDE Loss: 15.70139, BC Loss: 7.78930,                   mse loss: 23.490686, combined loss: 0.22246
9850/30000 PDE Loss: 16.45162, BC Loss: 9.75674,                   mse loss: 26.208355, combined loss: 0.57240
9900/30000 PDE Loss: 5.50737, BC Loss: 4.74703,                   mse loss: 10.254404, combined loss: -0.08003
9950/30000 PDE Loss: 13.07459, BC Loss: 13.99784,                   mse loss: 27.072422, combined loss: 2.75580
10000/30000 PDE Loss: 7.95541, BC Loss: 6.39334,                   mse loss: 14.348755, combined loss: -0.03376
10050/30000 PDE Loss: 6.67891, BC Loss: 5.41006,                   mse loss: 12.088970, combined loss: 0.00427
10100/30000 PDE Loss: 7.15699, BC Loss: 5.87748,                   mse loss: 13.034470, combined loss: -0.01862
10150/30000 PDE Loss: 9.23154, BC Loss: 6.53141,                   mse loss: 15.762957, combined loss: -0.01815
10200/30000 PDE Loss: 9.74210, BC Loss: 6.63249,                   mse loss: 16.374582, combined loss: 0.01493
10250/30000 PDE Loss: 7.37417, BC Loss: 6.09626,                   mse loss: 13.470434, combined loss: 0.00521
10300/30000 PDE Loss: 5.06351, BC Loss: 5.50043,                   mse loss: 10.563940, combined loss: 0.02282
10350/30000 PDE Loss: 4.49875, BC Loss: 5.97618,                   mse loss: 10.474936, combined loss: 0.01901
10400/30000 PDE Loss: 2.67547, BC Loss: 6.13077,                   mse loss: 8.806237, combined loss: -0.00861
10450/30000 PDE Loss: 36.13844, BC Loss: 1144.64258,                   mse loss: 1180.781006, combined loss: -301.30997
10500/30000 PDE Loss: 833.20648, BC Loss: 93.67259,                   mse loss: 926.879089, combined loss: 285.89447
10550/30000 PDE Loss: 3617.32666, BC Loss: 2620.00244,                   mse loss: 6237.329102, combined loss: -1110.82751
10600/30000 PDE Loss: 12222.17188, BC Loss: 2408.21191,                   mse loss: 14630.383789, combined loss: -1673.18408
10650/30000 PDE Loss: 17179.11328, BC Loss: 7974.70068,                   mse loss: 25153.814453, combined loss: -1032.36230
10700/30000 PDE Loss: 10184.59277, BC Loss: 4801.01025,                   mse loss: 14985.603516, combined loss: 4850.73389
10750/30000 PDE Loss: 3159.83960, BC Loss: 2872.67139,                   mse loss: 6032.510742, combined loss: 3599.36621
10800/30000 PDE Loss: 5537.29150, BC Loss: 1206.99390,                   mse loss: 6744.285156, combined loss: -6912.74609
10850/30000 PDE Loss: 23440.25586, BC Loss: 3901.32373,                   mse loss: 27341.580078, combined loss: -1452.76099
10900/30000 PDE Loss: 15633.79395, BC Loss: 9048.65039,                   mse loss: 24682.445312, combined loss: 724.28876
10950/30000 PDE Loss: 6406.60449, BC Loss: 385.49954,                   mse loss: 6792.104004, combined loss: 25.02505
